root_length_cm;length_longest_leaf_cm;petiole_longest_leaf_cm;width_longest_leaf_cm;leaves_number;eaten_leaves;petiole-length-ratio;length-width-ratio;longitude_GMS;latitude_GMS;altitude
;0,831;0,336;0,421;8;n;0,4;1,97;7°43'21.349;"53;46;27.760";7,716
;1,111;0,369;0,442;11;n;0,33;2,51;7°43'21.939;"53;46;27.260";6,199
;0,682;0,27;0,359;7;n;0,4;1,9;7°43'30.880;"53;46;6.13";6,034
;1,023;0,517;0,375;8;n;0,51;2,73;7°43'21.930;"53;46;27.309";4,521
;1,744;0,883;0,525;10;n;0,51;3,32;7°43'21.700;"53;46;28.160";11,504
;0,778;0,311;0,393;5;n;0,4;1,98;7°43'21.860;"53;46;27.739";0,656
;0,717;0,238;0,331;11;n;0,33;2,17;7°43'22.000;"53;46;27.350";10,765
;0,87;0,332;0,485;10;n;0,38;1,79;7°43'21.770;"53;46;27.700";8,785
;0,787;0,306;0,431;11;n;0,39;1,83;7°43'21.740;"53;46;27.880";10,975
;0,712;0,302;0,384;8;n;0,42;1,85;7°43'32.950;"53;46;5.869";8,135
;0,325;0,113;0,201;7;n;0,35;1,62;7°43'21.819;"53;46;27.250";7,364
;0,691;0,163;0,465;10;n;0,24;1,49;7°43'22.009;"53;46;28.070";5,819
;0,685;0,283;0,389;8;n;0,41;1,76;7°43'21.869;"53;46;27.760";10,574
;0,924;0,457;0,511;10;y;0,49;1,81;7°43'30.860;"53;46;6.17";5,126
;0,431;0,126;0,24;9;n;0,29;1,8;7°43'21.939;"53;46;27.329";4,632
;0,8;0,225;0,381;6;n;0,28;2,1;7°43'21.930;"53;46;27.299";4,471
;0,857;0,305;0,428;12;n;0,36;2;7°43'21.880;"53;46;27.700";6,303
;0,281;0,138;0,156;4;n;0,49;1,8;7°43'21.919;"53;46;27.529";5,913
;0,806;0,273;0,45;9;n;0,34;1,79;7°43'21.849;"53;46;27.829";8,672
;0,933;0,418;0,465;7;n;0,45;2,01;7°43'30.790;"53;46;6.100";6,029
;0,708;0,298;0,293;8;n;0,42;2,42;7°43'30.830;"53;46;6.029";5,569
;0,942;0,398;0,346;6;y;0,42;2,72;7°43'30.830;"53;46;6.079";4,893
;1,046;0,503;0,409;14;n;0,48;2,56;7°43'21.729;"53;46;27.959";11,353
;0,568;0,225;0,284;8;n;0,4;2;7°43'31.130;"53;46;5.589";11,274
;1,112;0,364;0,414;13;n;0,33;2,69;7°43'21.849;"53;46;27.290";5,92
