location;loc_coordinates;root_cm;leaf_number;petiole_cm;leaf_length_cm;leaf_width_cm;petiole-total_length-ratio;length-width-ratio;internodium_cm;stem_mm;cauline_leaves;flowers;siliques_number;reproductive_units;plant_length_cm;plant_length-root_length-ratio;mainshoot;sideshoots ;sidebranches;location_comp;longitude_decimal;latitude_decimal;altitude_m
Wechloy_Hof;53°9'7,2, 8°9'52,9884;;9;0,5;2,4;1;0,2;2,4;4,2;1,5;15;19;3;22;23;;y;0;6;Oldenburg;8,164719;53,152233;9
Wechloy_Hof;53°9'7,2, 8°9'52,9884;;12;1,9;;;;;2,2;0,9;21;31;11;42;19,5;;y;1;7;Oldenburg;8,164719;53,152233;9
Spiekeroog_1;53°46'22,8, 7°43'19,2;;12;0,9;3,8;1,2;0,2;3,2;8,8;2;35;93;68;161;;;n;3;7;Spiekeroog;7,722764;53,773727;4
Spiekeroog_1;53°46'22,8, 7°43'19,2;4;9;;;;;;3,7;0,5;4;5;7;12;10,6;2,7;y;0;0;Spiekeroog;7,722764;53,773727;4
Spiekeroog_1;53°46'22,8, 7°43'19,2;6,5;13;0,8;2,1;0,4;0,4;5,3;3,3;1;10;13;19;32;14,8;2,3;y;1;1;Spiekeroog;7,722764;53,773727;4
Spiekeroog_1;53°46'22,8, 7°43'19,2;4,2;2;;;;;;4,5;1;8;10;11;21;;;n;0;2;Spiekeroog;7,722764;53,773727;4
Spiekeroog_1;53°46'22,8, 7°43'19,2;6,7;11;0,6;1,5;0,4;0,4;3,8;4,8;1,5;7;7;12;19;10;1,5;y;0;1;Spiekeroog;7,722764;53,773727;4
Spiekeroog_1;53°46'22,8, 7°43'19,2;6,7;18;0,5;1,7;0,5;0,3;3,4;;1,1;19;14;9;23;;;n;3;0;Spiekeroog;7,722764;53,773727;4
Spiekeroog_1;53°46'22,8, 7°43'19,2;5,5;11;0,7;1,8;0,4;0,4;4,5;0,8;1,1;13;14;13;27;;;n;1;1;Spiekeroog;7,722764;53,773727;4
Spiekeroog_1;53°46'22,8, 7°43'19,2;5,8;10;0,8;2,3;0,6;0,3;3,8;;0,8;14;10;5;15;;;n;5;2;Spiekeroog;7,722764;53,773727;4
Spiekeroog_2;53°46'31,516, 7°43'1,936;4,2;11;0,5;1,4;0,5;0,4;2,8;6,3;1,4;6;14;31;45;30;7,1;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;4,8;11;0,4;1,7;0,6;0,2;2,8;7;1,2;15;19;27;46;33,4;7;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;3,1;7;;;;;;4,5;0,5;1;0;7;7;11,6;3,7;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;2,1;9;;;;;;4;0,7;1;0;10;10;11,3;5,4;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;3,4;7;;;;;;7,8;0,9;0;0;16;16;19,9;5,9;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;4,3;7;;;;;;6,4;0,8;1;0;13;13;14,8;3,4;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;5;9;0,4;1;0,3;0,4;3,3;1,9;0,5;1;0;7;7;8,3;1,7;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;5,5;7;0,4;1,2;0,4;0,3;3;3,5;0,8;3;3;14;17;15,5;2,8;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;4,7;12;0,2;0,9;0,3;0,2;3;3,8;0,7;3;1;11;12;14,5;3,1;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;10;9;0,5;1,9;0,6;0,3;3,2;5,3;1,5;24;25;16;41;13,6;1,4;y;1;6;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;11,3;9;1,5;3;0,4;0,5;7,5;2,3;1,5;;;50;50;20,6;1,8;y;0;4;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;5,8;6;;;;;;2,8;0,8;;2;12;14;13,4;2,3;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;4,6;11;1,1;1,9;0,3;0,6;6,3;4,7;0,8;;;15;15;13,4;2,9;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;4,7;11;0,4;1,5;0,5;0,3;3;1,1;1,1;;6;25;31;15,6;3,3;y;0;1;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;4,4;8;0,4;0,9;0,3;0,4;3;2;0,7;;3;12;15;11,3;2,6;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;4,1;11;1,1;0,5;0,3;2,2;1,7;;1;;10;43;53;;;n;3;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;3,3;7;;;;;;1,8;1;;;22;22;19;5,8;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;2,9;6;0,9;1,6;0,2;0,6;8;0,6;0,6;;1;8;9;5,6;1,9;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;1,5;3;0,7;1,1;0,1;0,6;11;0,9;0,6;;0;9;9;8,1;5,4;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;2,4;;;;;;;1,3;0,8;;0;9;9;12,2;5,1;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;3,3;11;0,9;1,8;0,4;0,5;4,5;3,9;0,8;;0;18;18;12,7;3,8;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;2,3;2;0,8;1,2;0,3;0,7;4;4;0,8;;0;14;14;10,1;4,4;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;2,9;9;0,9;;;;;5,7;0,8;;0;18;18;14,5;5;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;3,9;5;0,1;0,6;0,2;0,2;3;2,6;0,5;;1;7;8;8,7;2,2;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;4,4;13;0,5;0,9;0,3;0,6;3;2,4;1;;1;17;18;14,9;3,4;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;6,8;8;0,8;1,5;0,3;0,5;5;;1,2;;18;32;50;;;n;1;1;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;5,5;;;;;;;2,5;1,2;;10;30;40;;;n;1;1;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;6,4;4;0,6;;;;;3,2;0,8;;1;19;20;15,6;2,4;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;5,5;1;0,9;;;;;2;0,9;;1;24;25;17,9;3,3;y;0;0;Spiekeroog;7,717204;53,775421;6
Drögen Hasen 96;53°9'7,834, 8°9'43,506;7;5;0,6;1,7;0,4;0,4;4,3;;1,7;35;176;168;344;;;n;7;33;Oldenburg;8,162085;53,152176;5
Drögen Hasen 96;53°9'7,834, 8°9'43,506;5,8;6;0,6;2,5;0,9;0,2;2,8;;0,9;21;71;100;171;;;n;3;14;Oldenburg;8,162085;53,152176;5
Drögen Hasen 96;53°9'7,834, 8°9'43,506;6,2;2;;;;;;;1;19;32;7;39;;;n;5;2;Oldenburg;8,162085;53,152176;5
Drögen Hasen 96;53°9'7,834, 8°9'43,506;2,7;13;0,3;0,7;1,2;0,4;0,6;1,1;0,8;19;33;14;47;9,7;3,6;y;4;2;Oldenburg;8,162085;53,152176;5
Drögen Hasen 96;53°9'7,834, 8°9'43,506;6,2;13;1;3,1;1;0,3;3,1;3,1;1;23;17;15;32;14,3;2,3;y;4;1;Oldenburg;8,162085;53,152176;5
Drögen Hasen 96;53°9'7,834, 8°9'43,506;4;0;;;;;;2,1;0,7;15;29;79;108;20;5;y;3;9;Oldenburg;8,162085;53,152176;5
Drögen Hasen 96;53°9'7,834, 8°9'43,506;1,8;4;0,7;1,4;0,3;0,5;4,7;1,8;0,6;7;13;20;33;17,7;9,8;y;0;2;Oldenburg;8,162085;53,152176;5
Drögen Hasen 96;53°9'7,834, 8°9'43,506;4,9;0;;;;;;1,1;0,7;7;3;77;80;;;n;4;3;Oldenburg;8,162085;53,152176;5
Drögen Hasen 96;53°9'7,834, 8°9'43,506;;0;;;;;;9,6;1;7;13;26;39;27,2;;y;2;2;Oldenburg;8,162085;53,152176;5
